Feature_Name,Original_Dataset,Original_Column,Modality,Data_Type,Numerical_Categorical,Target_Variable,Missing_Percentage,Unique_Values,Description,Clinical_Meaning,Transformation_Applied,Normalization_Required,Recommended_ML_Encoding,Recommended_DL_Encoding,Suitable_for_GNN,Suitable_for_Explainability,Suitable_for_Inference
INFODT,Infer_Clinical,INFODT,Clinical,str,Categorical,No,45.96,182,Auto-extracted feature INFODT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_PDTRTMNT,Infer_Clinical,PDTRTMNT,Clinical,float64,Categorical,No,52.51,2,Auto-extracted feature clini_PDTRTMNT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_PDSTATE,Infer_Clinical,PDSTATE,Clinical,str,Categorical,No,73.48,2,Auto-extracted feature clini_PDSTATE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_HRPOSTMED,Infer_Clinical,HRPOSTMED,Clinical,float64,Numerical,No,73.81,655,Auto-extracted feature clini_HRPOSTMED,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
clini_HRDBSON,Infer_Clinical,HRDBSON,Clinical,float64,Categorical,No,100.0,0,Auto-extracted feature clini_HRDBSON,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_HRDBSOFF,Infer_Clinical,HRDBSOFF,Clinical,float64,Categorical,No,99.69,18,Auto-extracted feature clini_HRDBSOFF,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_PDMEDYN,Infer_Clinical,PDMEDYN,Clinical,float64,Categorical,No,52.83,2,Auto-extracted feature clini_PDMEDYN,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_DBSYN,Infer_Clinical,DBSYN,Clinical,float64,Categorical,No,46.32,2,Auto-extracted feature clini_DBSYN,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_ONOFFORDER,Infer_Clinical,ONOFFORDER,Clinical,float64,Categorical,No,89.63,2,Auto-extracted feature clini_ONOFFORDER,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_OFFEXAM,Infer_Clinical,OFFEXAM,Clinical,float64,Categorical,No,88.43,1,Auto-extracted feature clini_OFFEXAM,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_OFFNORSN,Infer_Clinical,OFFNORSN,Clinical,float64,Categorical,No,100.0,0,Auto-extracted feature clini_OFFNORSN,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_DBSOFFYN,Infer_Clinical,DBSOFFYN,Clinical,float64,Categorical,No,99.91,1,Auto-extracted feature clini_DBSOFFYN,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_DBSOFFTM,Infer_Clinical,DBSOFFTM,Clinical,str,Categorical,No,99.69,21,Auto-extracted feature clini_DBSOFFTM,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_ONEXAM,Infer_Clinical,ONEXAM,Clinical,float64,Categorical,No,100.0,0,Auto-extracted feature clini_ONEXAM,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_ONNORSN,Infer_Clinical,ONNORSN,Clinical,float64,Categorical,No,100.0,0,Auto-extracted feature clini_ONNORSN,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_HIFUYN,Infer_Clinical,HIFUYN,Clinical,float64,Categorical,No,90.08,2,Auto-extracted feature clini_HIFUYN,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_DBSONYN,Infer_Clinical,DBSONYN,Clinical,float64,Categorical,No,99.91,1,Auto-extracted feature clini_DBSONYN,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_DBSONTM,Infer_Clinical,DBSONTM,Clinical,str,Categorical,No,99.94,5,Auto-extracted feature clini_DBSONTM,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_PDMEDDT,Infer_Clinical,PDMEDDT,Clinical,str,Categorical,No,73.71,164,Auto-extracted feature clini_PDMEDDT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_PDMEDTM,Infer_Clinical,PDMEDTM,Clinical,str,Categorical,No,73.71,149,Auto-extracted feature clini_PDMEDTM,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_EXAMDT,Infer_Clinical,EXAMDT,Clinical,str,Categorical,No,45.98,182,Auto-extracted feature clini_EXAMDT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_EXAMTM,Infer_Clinical,EXAMTM,Clinical,str,Categorical,No,49.68,433,Auto-extracted feature clini_EXAMTM,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3SPCH,Infer_Motor,NP3SPCH,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3SPCH,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3FACXP,Infer_Motor,NP3FACXP,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3FACXP,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3RIGN,Infer_Motor,NP3RIGN,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3RIGN,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3RIGRU,Infer_Motor,NP3RIGRU,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3RIGRU,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3RIGLU,Infer_Motor,NP3RIGLU,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3RIGLU,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3RIGRL,Infer_Motor,NP3RIGRL,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3RIGRL,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3RIGLL,Infer_Motor,NP3RIGLL,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3RIGLL,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3FTAPR,Infer_Motor,NP3FTAPR,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3FTAPR,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3FTAPL,Infer_Motor,NP3FTAPL,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3FTAPL,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3HMOVR,Infer_Motor,NP3HMOVR,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3HMOVR,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3HMOVL,Infer_Motor,NP3HMOVL,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3HMOVL,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3PRSPR,Infer_Motor,NP3PRSPR,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3PRSPR,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3PRSPL,Infer_Motor,NP3PRSPL,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3PRSPL,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3TTAPR,Infer_Motor,NP3TTAPR,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3TTAPR,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3TTAPL,Infer_Motor,NP3TTAPL,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3TTAPL,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3LGAGR,Infer_Motor,NP3LGAGR,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3LGAGR,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3LGAGL,Infer_Motor,NP3LGAGL,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3LGAGL,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3RISNG,Infer_Motor,NP3RISNG,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3RISNG,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3GAIT,Infer_Motor,NP3GAIT,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3GAIT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3FRZGT,Infer_Motor,NP3FRZGT,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3FRZGT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3PSTBL,Infer_Motor,NP3PSTBL,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3PSTBL,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3POSTR,Infer_Motor,NP3POSTR,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3POSTR,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3BRADY,Infer_Motor,NP3BRADY,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3BRADY,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3PTRMR,Infer_Motor,NP3PTRMR,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3PTRMR,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3PTRML,Infer_Motor,NP3PTRML,Motor,float64,Categorical,No,45.96,4,Auto-extracted feature clini_NP3PTRML,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3KTRMR,Infer_Motor,NP3KTRMR,Motor,float64,Categorical,No,45.96,4,Auto-extracted feature clini_NP3KTRMR,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3KTRML,Infer_Motor,NP3KTRML,Motor,float64,Categorical,No,45.96,4,Auto-extracted feature clini_NP3KTRML,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3RTARU,Infer_Motor,NP3RTARU,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3RTARU,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3RTALU,Infer_Motor,NP3RTALU,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3RTALU,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3RTARL,Infer_Motor,NP3RTARL,Motor,float64,Categorical,No,45.96,4,Auto-extracted feature clini_NP3RTARL,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3RTALL,Infer_Motor,NP3RTALL,Motor,float64,Categorical,No,45.96,4,Auto-extracted feature clini_NP3RTALL,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3RTALJ,Infer_Motor,NP3RTALJ,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3RTALJ,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_NP3RTCON,Infer_Motor,NP3RTCON,Motor,float64,Categorical,No,45.96,5,Auto-extracted feature clini_NP3RTCON,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
NP3TOT,Infer_Motor,NP3TOT,Motor,float64,Numerical,No,45.96,75,Auto-extracted feature NP3TOT,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
clini_DYSKPRES,Infer_Clinical,DYSKPRES,Clinical,float64,Categorical,No,45.96,2,Auto-extracted feature clini_DYSKPRES,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_DYSKIRAT,Infer_Clinical,DYSKIRAT,Clinical,float64,Categorical,No,93.9,2,Auto-extracted feature clini_DYSKIRAT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
NHY,Infer_Clinical,NHY,Clinical,float64,Categorical,No,45.96,7,Auto-extracted feature NHY,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_ORIG_ENTRY,Infer_Clinical,ORIG_ENTRY,Clinical,str,Categorical,No,45.96,182,Auto-extracted feature clini_ORIG_ENTRY,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_LAST_UPDATE,Infer_Clinical,LAST_UPDATE,Clinical,str,Categorical,No,45.96,2714,Auto-extracted feature clini_LAST_UPDATE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_priority,Infer_Clinical,priority,Clinical,float64,Categorical,No,45.96,3,Auto-extracted feature clini_priority,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
FOUND_SRDXDATE,Infer_Clinical,SRDXDATE,Clinical,str,Categorical,No,100.0,0,Auto-extracted feature FOUND_SRDXDATE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
FOUND_FOPTRDX,Infer_Clinical,FOPTRDX,Clinical,str,Categorical,No,100.0,0,Auto-extracted feature FOUND_FOPTRDX,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
FOUND_FOPTRDXOTHER,Infer_Clinical,FOPTRDXOTHER,Clinical,str,Categorical,No,100.0,0,Auto-extracted feature FOUND_FOPTRDXOTHER,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
FOUND_LAST_UPDATE,Infer_Clinical,LAST_UPDATE,Clinical,str,Categorical,No,100.0,0,Auto-extracted feature FOUND_LAST_UPDATE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Geria_REC_ID,Infer_Clinical,REC_ID,Clinical,str,Categorical,No,36.34,5603,Auto-extracted feature Geria_REC_ID,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Geria_PAG_NAME,Infer_Clinical,PAG_NAME,Clinical,str,Categorical,No,36.34,1,Auto-extracted feature Geria_PAG_NAME,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Geria_GDSSATIS,Infer_Clinical,GDSSATIS,Clinical,float64,Categorical,No,36.34,2,Auto-extracted feature Geria_GDSSATIS,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Geria_GDSDROPD,Infer_Clinical,GDSDROPD,Clinical,float64,Categorical,No,36.34,2,Auto-extracted feature Geria_GDSDROPD,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Geria_GDSEMPTY,Infer_Clinical,GDSEMPTY,Clinical,float64,Categorical,No,36.36,2,Auto-extracted feature Geria_GDSEMPTY,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Geria_GDSBORED,Infer_Clinical,GDSBORED,Clinical,float64,Categorical,No,36.36,2,Auto-extracted feature Geria_GDSBORED,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Geria_GDSGSPIR,Infer_Clinical,GDSGSPIR,Clinical,float64,Categorical,No,36.36,2,Auto-extracted feature Geria_GDSGSPIR,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Geria_GDSAFRAD,Infer_Clinical,GDSAFRAD,Clinical,float64,Categorical,No,36.34,2,Auto-extracted feature Geria_GDSAFRAD,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Geria_GDSHAPPY,Infer_Clinical,GDSHAPPY,Clinical,float64,Categorical,No,36.36,2,Auto-extracted feature Geria_GDSHAPPY,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Geria_GDSHLPLS,Infer_Clinical,GDSHLPLS,Clinical,float64,Categorical,No,36.34,2,Auto-extracted feature Geria_GDSHLPLS,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Geria_GDSHOME,Infer_Clinical,GDSHOME,Clinical,float64,Categorical,No,36.36,2,Auto-extracted feature Geria_GDSHOME,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Geria_GDSMEMRY,Infer_Clinical,GDSMEMRY,Clinical,float64,Categorical,No,36.34,2,Auto-extracted feature Geria_GDSMEMRY,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Geria_GDSALIVE,Infer_Clinical,GDSALIVE,Clinical,float64,Categorical,No,36.36,2,Auto-extracted feature Geria_GDSALIVE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Geria_GDSWRTLS,Infer_Clinical,GDSWRTLS,Clinical,float64,Categorical,No,36.36,2,Auto-extracted feature Geria_GDSWRTLS,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Geria_GDSENRGY,Infer_Clinical,GDSENRGY,Clinical,float64,Categorical,No,36.36,2,Auto-extracted feature Geria_GDSENRGY,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
